DATE,RGF65Q4,RGF66Q1,RGF66Q2,RGF66Q3,RGF66Q4,RGF67Q1,RGF67Q2,RGF67Q3,RGF67Q4,RGF68Q1,RGF68Q2,RGF68Q3,RGF68Q4,RGF69Q1,RGF69Q2,RGF69Q3,RGF69Q4,RGF70Q1,RGF70Q2,RGF70Q3,RGF70Q4,RGF71Q1,RGF71Q2,RGF71Q3,RGF71Q4,RGF72Q1,RGF72Q2,RGF72Q3,RGF72Q4,RGF73Q1,RGF73Q2,RGF73Q3,RGF73Q4,RGF74Q1,RGF74Q2,RGF74Q3,RGF74Q4,RGF75Q1,RGF75Q2,RGF75Q3,RGF75Q4,RGF76Q1,RGF76Q2,RGF76Q3,RGF76Q4,RGF77Q1,RGF77Q2,RGF77Q3,RGF77Q4,RGF78Q1,RGF78Q2,RGF78Q3,RGF78Q4,RGF79Q1,RGF79Q2,RGF79Q3,RGF79Q4,RGF80Q1,RGF80Q2,RGF80Q3,RGF80Q4,RGF81Q1,RGF81Q2,RGF81Q3,RGF81Q4,RGF82Q1,RGF82Q2,RGF82Q3,RGF82Q4,RGF83Q1,RGF83Q2,RGF83Q3,RGF83Q4,RGF84Q1,RGF84Q2,RGF84Q3,RGF84Q4,RGF85Q1,RGF85Q2,RGF85Q3,RGF85Q4,RGF86Q1,RGF86Q2,RGF86Q3,RGF86Q4,RGF87Q1,RGF87Q2,RGF87Q3,RGF87Q4,RGF88Q1,RGF88Q2,RGF88Q3,RGF88Q4,RGF89Q1,RGF89Q2,RGF89Q3,RGF89Q4,RGF90Q1,RGF90Q2,RGF90Q3,RGF90Q4,RGF91Q1,RGF91Q2,RGF91Q3,RGF91Q4,RGF92Q1,RGF92Q2,RGF92Q3,RGF92Q4,RGF93Q1,RGF93Q2,RGF93Q3,RGF93Q4,RGF94Q1,RGF94Q2,RGF94Q3,RGF94Q4,RGF95Q1,RGF95Q2,RGF95Q3,RGF95Q4,RGF96Q1,RGF96Q2,RGF96Q3,RGF96Q4,RGF97Q1,RGF97Q2,RGF97Q3,RGF97Q4,RGF98Q1,RGF98Q2,RGF98Q3,RGF98Q4,RGF99Q1,RGF99Q2,RGF99Q3,RGF99Q4,RGF00Q1,RGF00Q2,RGF00Q3,RGF00Q4,RGF01Q1,RGF01Q2,RGF01Q3,RGF01Q4,RGF02Q1,RGF02Q2,RGF02Q3,RGF02Q4,RGF03Q1,RGF03Q2,RGF03Q3,RGF03Q4,RGF04Q1,RGF04Q2,RGF04Q3,RGF04Q4,RGF05Q1,RGF05Q2,RGF05Q3,RGF05Q4,RGF06Q1,RGF06Q2,RGF06Q3,RGF06Q4,RGF07Q1,RGF07Q2,RGF07Q3,RGF07Q4,RGF08Q1,RGF08Q2,RGF08Q3,RGF08Q4,RGF09Q1,RGF09Q2,RGF09Q3,RGF09Q4,RGF10Q1,RGF10Q2,RGF10Q3,RGF10Q4,RGF11Q1,RGF11Q2,RGF11Q3,RGF11Q4,RGF12Q1,RGF12Q2,RGF12Q3,RGF12Q4,RGF13Q1,RGF13Q2,RGF13Q3,RGF13Q4,RGF14Q1,RGF14Q2,RGF14Q3,RGF14Q4,RGF15Q1,RGF15Q2,RGF15Q3,RGF15Q4,RGF16Q1,RGF16Q2,RGF16Q3,RGF16Q4,RGF17Q1,RGF17Q2,RGF17Q3,RGF17Q4,RGF18Q1,RGF18Q2,RGF18Q3,RGF18Q4,RGF19Q1,RGF19Q2,RGF19Q3,RGF19Q4,RGF20Q1,RGF20Q2,RGF20Q3,RGF20Q4,RGF21Q1,RGF21Q2,RGF21Q3,RGF21Q4,RGF22Q1
1947:Q1,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,93.7,#N/A,#N/A,#N/A,#N/A,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,112.6,#N/A,#N/A,#N/A,#N/A,#N/A,166.273,166.273,166.273,166.273,166.273,166.273,166.273,166.273,166.273,166.273,#N/A,#N/A,#N/A,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,185.3,185.3,185.3,185.3,185.3,185.3,185.3,185.3,185.3,185.3,185.3,185.3,185.3,185.3,185.3,185.3,185.3,185.3,185.3,185.3,185.3,185.3,223.7,223.7,223.7,223.7,223.7,223.7,223.7,223.7,223.8,223.8,223.8,223.8,223.8,223.8,223.8,223.8,238.4,238.4,238.4,238.4,238.4,238.4,238.4,238.4,238.4,238.4,238.4,238.4,238.4,238.4,238.4,238.4,238.4,238.4,238.4,238.4,264.9,264.9,264.9,264.9,264.9,264.9,264.9,264.9,264.9,264.9,264.9,264.9,264.9,264.9,264.9
1947:Q2,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,37.1,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,#N/A,#N/A,#N/A,#N/A,110,110,110,110,110,110,110,110,110,110,110,110,#N/A,#N/A,#N/A,#N/A,#N/A,167.5403,167.5403,167.5403,167.5403,167.5403,167.5403,167.5403,167.5403,167.5403,167.5403,#N/A,#N/A,#N/A,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,171.3,185.6,185.6,185.6,185.6,185.6,185.6,185.6,185.6,185.6,185.6,185.6,185.6,185.6,185.6,185.6,185.6,185.6,185.6,185.6,185.6,185.6,185.6,224.1,224.1,224.1,224.1,224.1,224.1,224.1,224.1,224.3,224.3,224.3,224.3,224.3,224.3,224.3,224.3,239.9,239.9,239.9,239.9,239.9,239.9,239.9,239.9,239.9,239.9,239.9,239.9,239.9,239.9,239.9,239.9,239.9,239.9,239.9,239.9,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7
1947:Q3,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,#N/A,#N/A,#N/A,#N/A,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,111.9,#N/A,#N/A,#N/A,#N/A,#N/A,167.4875,167.4875,167.4875,167.4875,167.4875,167.4875,167.4875,167.4875,167.4875,167.4875,#N/A,#N/A,#N/A,170.6,170.6,170.6,170.6,170.6,170.6,170.6,170.6,170.6,170.6,170.6,170.6,170.6,170.6,185.7,185.7,185.7,185.7,185.7,185.7,185.7,185.7,185.7,185.7,185.7,185.7,185.7,185.7,185.7,185.7,185.7,185.7,185.7,185.7,185.7,185.7,224.3,224.3,224.3,224.3,224.3,224.3,224.3,224.3,224.4,224.4,224.4,224.4,224.4,224.4,224.4,224.4,239.3,239.3,239.3,239.3,239.3,239.3,239.3,239.3,239.3,239.3,239.3,239.3,239.3,239.3,239.3,239.3,239.3,239.3,239.3,239.3,259.3,259.3,259.3,259.3,259.3,259.3,259.3,259.3,259.3,259.3,259.3,259.3,259.3,259.3,259.3
1947:Q4,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2,88.2,#N/A,#N/A,#N/A,#N/A,108.3,108.3,108.3,108.3,108.3,108.3,108.3,108.3,108.3,108.3,108.3,108.3,#N/A,#N/A,#N/A,#N/A,#N/A,161.3624,161.3624,161.3624,161.3624,161.3624,161.3624,161.3624,161.3624,161.3624,161.3624,#N/A,#N/A,#N/A,164.6,164.6,164.6,164.6,164.6,164.6,164.6,164.6,164.6,164.6,164.6,164.6,164.6,164.6,179.2,179.2,179.2,179.2,179.2,179.2,179.2,179.2,179.2,179.2,179.2,179.2,179.2,179.2,179.2,179.2,179.2,179.2,179.2,179.2,179.2,179.2,216.4,216.4,216.4,216.4,216.4,216.4,216.4,216.4,216.6,216.6,216.6,216.6,216.6,216.6,216.6,216.6,234.4,234.4,234.4,234.4,234.4,234.4,234.4,234.4,234.4,234.4,234.4,234.4,234.4,234.4,234.4,234.4,234.4,234.4,234.4,234.4,253.6,253.6,253.6,253.6,253.6,253.6,253.6,253.6,253.6,253.6,253.6,253.6,253.6,253.6,253.6
1948:Q1,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,#N/A,#N/A,#N/A,#N/A,118.7,118.7,118.7,118.7,118.7,118.7,118.7,118.7,118.7,118.7,118.7,118.7,#N/A,#N/A,#N/A,#N/A,#N/A,166.7482,166.7482,166.7482,166.7482,166.7482,166.7482,166.7482,166.7482,166.7482,166.7482,#N/A,#N/A,#N/A,170.4,170.4,170.4,170.4,170.4,170.4,170.4,170.4,170.4,170.4,170.4,170.4,170.4,170.4,185.2,185.2,185.2,185.2,185.2,185.2,185.2,185.2,185.2,185.2,185.2,185.2,185.2,185.2,185.2,185.2,185.2,185.2,185.2,185.2,185.2,185.2,223.8,223.8,223.8,223.8,223.8,223.8,223.8,223.8,224,224,224,224,224,224,224,224,239.5,239.5,239.5,239.5,239.5,239.5,239.5,239.5,239.5,239.5,239.5,239.5,239.5,239.5,239.5,239.5,239.5,239.5,239.5,239.5,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260
1948:Q2,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,103.7,#N/A,#N/A,#N/A,#N/A,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,#N/A,#N/A,#N/A,#N/A,#N/A,175.9886,175.9886,175.9886,175.9886,175.9886,175.9886,175.9886,175.9886,175.9886,175.9886,#N/A,#N/A,#N/A,180.5,180.5,180.5,180.5,180.5,180.5,180.5,180.5,180.5,180.5,180.5,180.5,180.5,180.5,196.5,196.5,196.5,196.5,196.5,196.5,196.5,196.5,196.5,196.5,196.5,196.5,196.5,196.5,196.5,196.5,196.5,196.5,196.5,196.5,196.5,196.5,237.4,237.4,237.4,237.4,237.4,237.4,237.4,237.4,237.6,237.6,237.6,237.6,237.6,237.6,237.6,237.6,248.4,248.4,248.4,248.4,248.4,248.4,248.4,248.4,248.4,248.4,248.4,248.4,248.4,248.4,248.4,248.4,248.4,248.4,248.4,248.4,270.3,270.3,270.3,270.3,270.3,270.3,270.3,270.3,270.3,270.3,270.3,270.3,270.3,270.3,270.3
1948:Q3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,44.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,#N/A,#N/A,#N/A,#N/A,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,#N/A,#N/A,#N/A,#N/A,#N/A,178.9983,178.9983,178.9983,178.9983,178.9983,178.9983,178.9983,178.9983,178.9983,178.9983,#N/A,#N/A,#N/A,184,184,184,184,184,184,184,184,184,184,184,184,184,184,200.5,200.5,200.5,200.5,200.5,200.5,200.5,200.5,200.5,200.5,200.5,200.5,200.5,200.5,200.5,200.5,200.5,200.5,200.5,200.5,200.5,200.5,242.2,242.2,242.2,242.2,242.2,242.2,242.2,242.2,242.5,242.5,242.5,242.5,242.5,242.5,242.5,242.5,253.8,253.8,253.8,253.8,253.8,253.8,253.8,253.8,253.8,253.8,253.8,253.8,253.8,253.8,253.8,253.8,253.8,253.8,253.8,253.8,276.5,276.5,276.5,276.5,276.5,276.5,276.5,276.5,276.5,276.5,276.5,276.5,276.5,276.5,276.5
1948:Q4,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.4,48.4,118.6,118.6,118.6,118.6,118.6,118.6,118.6,118.6,118.6,118.6,118.6,118.6,118.6,118.6,118.6,118.6,118.6,118.6,118.6,118.6,118.6,118.6,118.6,118.6,#N/A,#N/A,#N/A,#N/A,136.8,136.8,136.8,136.8,136.8,136.8,136.8,136.8,136.8,136.8,136.8,136.8,#N/A,#N/A,#N/A,#N/A,#N/A,188.397,188.397,188.397,188.397,188.397,188.397,188.397,188.397,188.397,188.397,#N/A,#N/A,#N/A,194.4,194.4,194.4,194.4,194.4,194.4,194.4,194.4,194.4,194.4,194.4,194.4,194.4,194.4,211.5,211.5,211.5,211.5,211.5,211.5,211.5,211.5,211.5,211.5,211.5,211.5,211.5,211.5,211.5,211.5,211.5,211.5,211.5,211.5,211.5,211.5,255.4,255.4,255.4,255.4,255.4,255.4,255.4,255.4,255.6,255.6,255.6,255.6,255.6,255.6,255.6,255.6,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,265,288.9,288.9,288.9,288.9,288.9,288.9,288.9,288.9,288.9,288.9,288.9,288.9,288.9,288.9,288.9
1949:Q1,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,117.3,117.3,117.3,117.3,117.3,117.3,117.3,117.3,117.3,117.3,117.3,117.3,117.3,117.3,117.3,117.3,117.3,117.3,117.3,117.3,117.3,117.3,117.3,117.3,#N/A,#N/A,#N/A,#N/A,137.1,137.1,137.1,137.1,137.1,137.1,137.1,137.1,137.1,137.1,137.1,137.1,#N/A,#N/A,#N/A,#N/A,#N/A,191.5123,191.5123,191.5123,191.5123,191.5123,191.5123,191.5123,191.5123,191.5123,191.5123,#N/A,#N/A,#N/A,197.4,197.4,197.4,197.4,197.4,197.4,197.4,197.4,197.4,197.4,197.4,197.4,197.4,197.4,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,215.6,260.6,260.6,260.6,260.6,260.6,260.6,260.6,260.6,260.8,260.8,260.8,260.8,260.8,260.8,260.8,260.8,270.3,270.3,270.3,270.3,270.3,270.3,270.3,270.3,270.3,270.3,270.3,270.3,270.3,270.3,270.3,270.3,270.3,270.3,270.3,270.3,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1
1949:Q2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,121.4,#N/A,#N/A,#N/A,#N/A,142.3,142.3,142.3,142.3,142.3,142.3,142.3,142.3,142.3,142.3,142.3,142.3,#N/A,#N/A,#N/A,#N/A,#N/A,198.5878,198.5878,198.5878,198.5878,198.5878,198.5878,198.5878,198.5878,198.5878,198.5878,#N/A,#N/A,#N/A,204.8,204.8,204.8,204.8,204.8,204.8,204.8,204.8,204.8,204.8,204.8,204.8,204.8,204.8,223.8,223.8,223.8,223.8,223.8,223.8,223.8,223.8,223.8,223.8,223.8,223.8,223.8,223.8,223.8,223.8,223.8,223.8,223.8,223.8,223.8,223.8,270.4,270.4,270.4,270.4,270.4,270.4,270.4,270.4,270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,304.6,304.6,304.6,304.6,304.6,304.6,304.6,304.6,304.6,304.6,304.6,304.6,304.6,304.6,304.6
